event_source,event_id,event_name,node,retrieved_supporting_case_count,retrieved_supporting_case_ids,required_support,accepted,mapped,mapped_asset_count,kb_case_count_for_node,kb_case_ids_for_node,kb_cases_outside_top_k_count,kb_cases_outside_top_k,potential_retrieval_bottleneck,potential_mapping_bottleneck,closest_mapping_labels
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,agriculture,2,case_panama_canal_drought_shipping_capacity;case_2023_black_sea_shipping_insurance_restrictions,2,True,True,2,10,case_2018_2019_us_china_tariffs;case_2022_gas_fertilizer_shock;case_panama_canal_drought_shipping_capacity;case_black_sea_grain_export_disruption;case_2022_india_wheat_export_ban;case_2021_belarus_potash_sanctions;case_2023_black_sea_shipping_insurance_restrictions;case_2021_myanmar_coup_supply_chain_disruption;case_2008_rice_export_restrictions_food_security;case_2022_russia_fertilizer_export_restrictions,8,case_2018_2019_us_china_tariffs;case_2022_gas_fertilizer_shock;case_black_sea_grain_export_disruption;case_2022_india_wheat_export_ban;case_2021_belarus_potash_sanctions;case_2021_myanmar_coup_supply_chain_disruption;case_2008_rice_export_restrictions_food_security;case_2022_russia_fertilizer_export_restrictions,False,False,
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,aviation,1,case_2019_india_pakistan_airspace_closure,2,False,True,0,11,case_middle_east_oil_supply_disruption;case_opec_production_cut_policy_shock;case_2020_opec_plus_production_cut;case_2022_abu_dhabi_oil_facility_attack;case_2022_russia_aviation_supply_chain_sanctions;case_2017_north_korea_missile_escalation;case_2019_india_pakistan_airspace_closure;case_2011_libya_civil_war_oil_disruption;case_2024_ukraine_drone_attacks_russian_refineries;case_2021_colonial_pipeline_ransomware;case_2022_russia_airspace_closure_aviation_routes,10,case_middle_east_oil_supply_disruption;case_opec_production_cut_policy_shock;case_2020_opec_plus_production_cut;case_2022_abu_dhabi_oil_facility_attack;case_2022_russia_aviation_supply_chain_sanctions;case_2017_north_korea_missile_escalation;case_2011_libya_civil_war_oil_disruption;case_2024_ukraine_drone_attacks_russian_refineries;case_2021_colonial_pipeline_ransomware;case_2022_russia_airspace_closure_aviation_routes,True,False,
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,customs,1,case_2022_turkey_strait_tanker_insurance_backlog,2,False,True,0,32,case_2023_dutch_asml_controls;case_2019_huawei_entity_list;case_2018_2019_us_china_tariffs;case_china_gallium_germanium_graphite_controls;case_uranium_nuclear_fuel_supply_disruption;case_2022_russia_swift_financial_sanctions;case_2023_china_graphite_battery_export_controls;case_2022_india_wheat_export_ban;case_2022_russia_aviation_supply_chain_sanctions;case_2023_niger_coup_uranium_supply_risk;case_2022_chile_lithium_policy_shift;case_2020_indonesia_nickel_export_ban;case_2021_belarus_potash_sanctions;case_2021_xinjiang_forced_labor_import_restrictions;case_2024_ev_tariff_escalation_china;case_2024_drc_cobalt_copper_mining_disruption;case_2023_mexico_nearshoring_cross_border_policy_risk;case_2023_eu_carbon_border_adjustment_mechanism;case_2021_myanmar_coup_supply_chain_disruption;case_2022_turkey_strait_tanker_insurance_backlog;case_2014_crimea_financial_sanctions;case_2018_iran_swift_restrictions;case_2019_cosco_shipping_sanctions_tanker_market;case_2010_china_japan_rare_earth_embargo;case_2022_peru_mine_protests_copper_supply;case_2023_panama_cobre_mine_closure;case_2008_rice_export_restrictions_food_security;case_2022_russia_fertilizer_export_restrictions;case_2020_smic_entity_list_semiconductor_controls;case_2023_japan_chip_equipment_export_controls;case_2019_turkey_f35_s400_defense_restrictions;case_2022_russia_airspace_closure_aviation_routes,31,case_2023_dutch_asml_controls;case_2019_huawei_entity_list;case_2018_2019_us_china_tariffs;case_china_gallium_germanium_graphite_controls;case_uranium_nuclear_fuel_supply_disruption;case_2022_russia_swift_financial_sanctions;case_2023_china_graphite_battery_export_controls;case_2022_india_wheat_export_ban;case_2022_russia_aviation_supply_chain_sanctions;case_2023_niger_coup_uranium_supply_risk;case_2022_chile_lithium_policy_shift;case_2020_indonesia_nickel_export_ban;case_2021_belarus_potash_sanctions;case_2021_xinjiang_forced_labor_import_restrictions;case_2024_ev_tariff_escalation_china;case_2024_drc_cobalt_copper_mining_disruption;case_2023_mexico_nearshoring_cross_border_policy_risk;case_2023_eu_carbon_border_adjustment_mechanism;case_2021_myanmar_coup_supply_chain_disruption;case_2014_crimea_financial_sanctions;case_2018_iran_swift_restrictions;case_2019_cosco_shipping_sanctions_tanker_market;case_2010_china_japan_rare_earth_embargo;case_2022_peru_mine_protests_copper_supply;case_2023_panama_cobre_mine_closure;case_2008_rice_export_restrictions_food_security;case_2022_russia_fertilizer_export_restrictions;case_2020_smic_entity_list_semiconductor_controls;case_2023_japan_chip_equipment_export_controls;case_2019_turkey_f35_s400_defense_restrictions;case_2022_russia_airspace_closure_aviation_routes,True,False,
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,defense,3,case_2023_south_china_sea_shipping_tensions;case_1987_1988_tanker_war_reflagging;case_2019_india_pakistan_airspace_closure,2,True,True,2,15,case_taiwan_strait_semiconductor_risk;case_rare_earth_export_restriction_risk;case_israel_iran_escalation_energy_risk;case_defense_spending_shock_after_escalation;case_2023_middle_east_defense_supply_escalation;case_2024_taiwan_strait_drills_semiconductor_supply;case_2022_abu_dhabi_oil_facility_attack;case_2022_russia_aviation_supply_chain_sanctions;case_2017_north_korea_missile_escalation;case_2019_india_pakistan_airspace_closure;case_2022_ukraine_electricity_grid_attacks;case_2023_south_china_sea_shipping_tensions;case_1987_1988_tanker_war_reflagging;case_2010_china_japan_rare_earth_embargo;case_2019_turkey_f35_s400_defense_restrictions,12,case_taiwan_strait_semiconductor_risk;case_rare_earth_export_restriction_risk;case_israel_iran_escalation_energy_risk;case_defense_spending_shock_after_escalation;case_2023_middle_east_defense_supply_escalation;case_2024_taiwan_strait_drills_semiconductor_supply;case_2022_abu_dhabi_oil_facility_attack;case_2022_russia_aviation_supply_chain_sanctions;case_2017_north_korea_missile_escalation;case_2022_ukraine_electricity_grid_attacks;case_2010_china_japan_rare_earth_embargo;case_2019_turkey_f35_s400_defense_restrictions,False,False,
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,energy,3,case_2021_suez_blockage;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_1987_1988_tanker_war_reflagging,2,True,True,2,28,case_2021_suez_blockage;case_hormuz_tanker_tensions;case_russia_ukraine_energy_shock;case_2022_gas_fertilizer_shock;case_middle_east_oil_supply_disruption;case_rare_earth_export_restriction_risk;case_opec_production_cut_policy_shock;case_israel_iran_escalation_energy_risk;case_cyberattack_pipeline_port_infrastructure;case_uranium_nuclear_fuel_supply_disruption;case_2022_russia_swift_financial_sanctions;case_2020_opec_plus_production_cut;case_2022_abu_dhabi_oil_facility_attack;case_2018_iran_oil_sanctions_reimposition;case_2019_venezuela_oil_sanctions;case_2022_nord_stream_pipeline_sabotage;case_2022_ukraine_electricity_grid_attacks;case_2023_niger_coup_uranium_supply_risk;case_2023_eu_carbon_border_adjustment_mechanism;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_1987_1988_tanker_war_reflagging;case_2014_crimea_financial_sanctions;case_2009_russia_ukraine_gas_transit_dispute;case_2011_libya_civil_war_oil_disruption;case_2024_ukraine_drone_attacks_russian_refineries;case_2022_russia_fertilizer_export_restrictions;case_2021_colonial_pipeline_ransomware;case_2022_russia_airspace_closure_aviation_routes,25,case_hormuz_tanker_tensions;case_russia_ukraine_energy_shock;case_2022_gas_fertilizer_shock;case_middle_east_oil_supply_disruption;case_rare_earth_export_restriction_risk;case_opec_production_cut_policy_shock;case_israel_iran_escalation_energy_risk;case_cyberattack_pipeline_port_infrastructure;case_uranium_nuclear_fuel_supply_disruption;case_2022_russia_swift_financial_sanctions;case_2020_opec_plus_production_cut;case_2022_abu_dhabi_oil_facility_attack;case_2018_iran_oil_sanctions_reimposition;case_2019_venezuela_oil_sanctions;case_2022_nord_stream_pipeline_sabotage;case_2022_ukraine_electricity_grid_attacks;case_2023_niger_coup_uranium_supply_risk;case_2023_eu_carbon_border_adjustment_mechanism;case_2014_crimea_financial_sanctions;case_2009_russia_ukraine_gas_transit_dispute;case_2011_libya_civil_war_oil_disruption;case_2024_ukraine_drone_attacks_russian_refineries;case_2022_russia_fertilizer_export_restrictions;case_2021_colonial_pipeline_ransomware;case_2022_russia_airspace_closure_aviation_routes,False,False,
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,financial_sanctions,2,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2022_turkey_strait_tanker_insurance_backlog,2,True,True,2,8,case_2022_russia_swift_financial_sanctions;case_2018_iran_oil_sanctions_reimposition;case_2019_venezuela_oil_sanctions;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2022_turkey_strait_tanker_insurance_backlog;case_2014_crimea_financial_sanctions;case_2018_iran_swift_restrictions;case_2019_cosco_shipping_sanctions_tanker_market,6,case_2022_russia_swift_financial_sanctions;case_2018_iran_oil_sanctions_reimposition;case_2019_venezuela_oil_sanctions;case_2014_crimea_financial_sanctions;case_2018_iran_swift_restrictions;case_2019_cosco_shipping_sanctions_tanker_market,False,False,
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,grain_exports,1,case_2023_black_sea_shipping_insurance_restrictions,2,False,True,0,4,case_black_sea_grain_export_disruption;case_2022_india_wheat_export_ban;case_2023_black_sea_shipping_insurance_restrictions;case_2008_rice_export_restrictions_food_security,3,case_black_sea_grain_export_disruption;case_2022_india_wheat_export_ban;case_2008_rice_export_restrictions_food_security,True,False,
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,manufacturing_inputs,1,case_2019_india_pakistan_airspace_closure,2,False,True,0,34,case_russia_ukraine_energy_shock;case_2019_huawei_entity_list;case_2018_2019_us_china_tariffs;case_2022_gas_fertilizer_shock;case_taiwan_strait_semiconductor_risk;case_rare_earth_export_restriction_risk;case_china_gallium_germanium_graphite_controls;case_defense_spending_shock_after_escalation;case_uranium_nuclear_fuel_supply_disruption;case_2023_port_of_nagoya_cyberattack;case_2023_middle_east_defense_supply_escalation;case_2023_china_graphite_battery_export_controls;case_2022_russia_aviation_supply_chain_sanctions;case_2017_north_korea_missile_escalation;case_2019_india_pakistan_airspace_closure;case_2022_nord_stream_pipeline_sabotage;case_2022_ukraine_electricity_grid_attacks;case_2022_chile_lithium_policy_shift;case_2020_indonesia_nickel_export_ban;case_2021_xinjiang_forced_labor_import_restrictions;case_2024_ev_tariff_escalation_china;case_2017_notpetya_shipping_logistics_cyberattack;case_2024_drc_cobalt_copper_mining_disruption;case_2023_mexico_nearshoring_cross_border_policy_risk;case_2023_eu_carbon_border_adjustment_mechanism;case_2021_myanmar_coup_supply_chain_disruption;case_2014_crimea_financial_sanctions;case_2009_russia_ukraine_gas_transit_dispute;case_2010_china_japan_rare_earth_embargo;case_2022_peru_mine_protests_copper_supply;case_2023_panama_cobre_mine_closure;case_2020_smic_entity_list_semiconductor_controls;case_2023_japan_chip_equipment_export_controls;case_2019_turkey_f35_s400_defense_restrictions,33,case_russia_ukraine_energy_shock;case_2019_huawei_entity_list;case_2018_2019_us_china_tariffs;case_2022_gas_fertilizer_shock;case_taiwan_strait_semiconductor_risk;case_rare_earth_export_restriction_risk;case_china_gallium_germanium_graphite_controls;case_defense_spending_shock_after_escalation;case_uranium_nuclear_fuel_supply_disruption;case_2023_port_of_nagoya_cyberattack;case_2023_middle_east_defense_supply_escalation;case_2023_china_graphite_battery_export_controls;case_2022_russia_aviation_supply_chain_sanctions;case_2017_north_korea_missile_escalation;case_2022_nord_stream_pipeline_sabotage;case_2022_ukraine_electricity_grid_attacks;case_2022_chile_lithium_policy_shift;case_2020_indonesia_nickel_export_ban;case_2021_xinjiang_forced_labor_import_restrictions;case_2024_ev_tariff_escalation_china;case_2017_notpetya_shipping_logistics_cyberattack;case_2024_drc_cobalt_copper_mining_disruption;case_2023_mexico_nearshoring_cross_border_policy_risk;case_2023_eu_carbon_border_adjustment_mechanism;case_2021_myanmar_coup_supply_chain_disruption;case_2014_crimea_financial_sanctions;case_2009_russia_ukraine_gas_transit_dispute;case_2010_china_japan_rare_earth_embargo;case_2022_peru_mine_protests_copper_supply;case_2023_panama_cobre_mine_closure;case_2020_smic_entity_list_semiconductor_controls;case_2023_japan_chip_equipment_export_controls;case_2019_turkey_f35_s400_defense_restrictions,True,False,
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,panama_canal,1,case_panama_canal_drought_shipping_capacity,2,False,True,0,1,case_panama_canal_drought_shipping_capacity,0,,False,False,
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,payment_networks,1,case_2023_arctic_lng_russian_energy_shipping_sanctions,2,False,True,0,7,case_2022_russia_swift_financial_sanctions;case_2018_iran_oil_sanctions_reimposition;case_2019_venezuela_oil_sanctions;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2014_crimea_financial_sanctions;case_2018_iran_swift_restrictions;case_2019_cosco_shipping_sanctions_tanker_market,6,case_2022_russia_swift_financial_sanctions;case_2018_iran_oil_sanctions_reimposition;case_2019_venezuela_oil_sanctions;case_2014_crimea_financial_sanctions;case_2018_iran_swift_restrictions;case_2019_cosco_shipping_sanctions_tanker_market,True,False,
