event_source,event_id,event_name,event_type,expected_historical_cases,retrieved_case_count,retrieved_case_ids,raw_second_order_nodes,accepted_second_order_nodes,dropped_by_support_requirement,mapped_second_order_nodes,unmapped_accepted_second_order_nodes,second_order_assets,second_order_ranked_assets,historical_supported_second_order,sector_proxy_second_order,inference_only_second_order
evaluation_cases,eval_red_sea_shipping_disruption,eval_red_sea_shipping_disruption,maritime_security_disruption,case_2023_red_sea_attacks,10,case_2023_red_sea_attacks;case_2021_suez_blockage;case_2024_us_east_gulf_port_strike;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2023_south_china_sea_shipping_tensions;case_panama_canal_drought_shipping_capacity;case_1987_1988_tanker_war_reflagging;case_2023_black_sea_shipping_insurance_restrictions;case_2019_india_pakistan_airspace_closure;case_2022_turkey_strait_tanker_insurance_backlog,13,6,7,6,0,12,12,2,10,0
evaluation_cases,eval_semiconductor_export_controls,eval_semiconductor_export_controls,technology_export_controls,case_2022_us_china_semiconductor_controls,10,case_2022_us_china_semiconductor_controls;case_2023_japan_chip_equipment_export_controls;case_2023_dutch_asml_controls;case_2020_smic_entity_list_semiconductor_controls;case_2019_huawei_entity_list;case_2024_taiwan_strait_drills_semiconductor_supply;case_2010_china_japan_rare_earth_embargo;case_taiwan_strait_semiconductor_risk;case_china_gallium_germanium_graphite_controls;case_2019_turkey_f35_s400_defense_restrictions,8,4,4,4,0,8,8,0,8,0
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,war_and_sanctions_energy_disruption,case_russia_ukraine_energy_shock,10,case_2009_russia_ukraine_gas_transit_dispute;case_russia_ukraine_energy_shock;case_2022_nord_stream_pipeline_sabotage;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_uranium_nuclear_fuel_supply_disruption;case_2024_ukraine_drone_attacks_russian_refineries;case_middle_east_oil_supply_disruption;case_2022_russia_swift_financial_sanctions;case_2019_venezuela_oil_sanctions;case_2014_crimea_financial_sanctions,12,7,5,7,0,14,14,2,12,0
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,energy_and_agricultural_input_shock,case_2022_gas_fertilizer_shock,10,case_2022_gas_fertilizer_shock;case_2021_belarus_potash_sanctions;case_2022_russia_fertilizer_export_restrictions;case_russia_ukraine_energy_shock;case_uranium_nuclear_fuel_supply_disruption;case_opec_production_cut_policy_shock;case_2009_russia_ukraine_gas_transit_dispute;case_black_sea_grain_export_disruption;case_2022_india_wheat_export_ban;case_2023_eu_carbon_border_adjustment_mechanism,15,7,8,7,0,13,13,4,9,0
evaluation_cases,eval_us_china_tariffs,eval_us_china_tariffs,trade_policy_and_tariffs,case_2018_2019_us_china_tariffs,10,case_2018_2019_us_china_tariffs;case_2024_ev_tariff_escalation_china;case_2021_xinjiang_forced_labor_import_restrictions;case_2023_mexico_nearshoring_cross_border_policy_risk;case_2008_rice_export_restrictions_food_security;case_2023_eu_carbon_border_adjustment_mechanism;case_2022_india_wheat_export_ban;case_2019_huawei_entity_list;case_2021_myanmar_coup_supply_chain_disruption;case_2023_japan_chip_equipment_export_controls,13,7,6,7,0,13,13,0,13,0
evaluation_cases,eval_middle_east_oil_infrastructure_attack,eval_middle_east_oil_infrastructure_attack,energy_infrastructure_disruption,case_middle_east_oil_supply_disruption,10,case_middle_east_oil_supply_disruption;case_2022_abu_dhabi_oil_facility_attack;case_opec_production_cut_policy_shock;case_2020_opec_plus_production_cut;case_2024_ukraine_drone_attacks_russian_refineries;case_israel_iran_escalation_energy_risk;case_hormuz_tanker_tensions;case_2011_libya_civil_war_oil_disruption;case_1987_1988_tanker_war_reflagging;case_2019_venezuela_oil_sanctions,10,5,5,5,0,10,10,2,8,0
evaluation_cases,eval_hormuz_tanker_tensions,eval_hormuz_tanker_tensions,geopolitical_risk_event,case_hormuz_tanker_tensions,10,case_hormuz_tanker_tensions;case_1987_1988_tanker_war_reflagging;case_israel_iran_escalation_energy_risk;case_2022_abu_dhabi_oil_facility_attack;case_2023_red_sea_attacks;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_middle_east_oil_supply_disruption;case_2022_turkey_strait_tanker_insurance_backlog;case_opec_production_cut_policy_shock;case_russia_ukraine_energy_shock,16,0,16,0,0,0,0,0,0,0
evaluation_cases,eval_suez_canal_blockage,eval_suez_canal_blockage,shipping_chokepoint_disruption,case_2021_suez_blockage,10,case_2021_suez_blockage;case_2023_red_sea_attacks;case_2024_us_east_gulf_port_strike;case_2023_south_china_sea_shipping_tensions;case_2022_turkey_strait_tanker_insurance_backlog;case_2023_dp_world_australia_cyber_port_disruption;case_panama_canal_drought_shipping_capacity;case_2017_notpetya_shipping_logistics_cyberattack;case_2023_arctic_lng_russian_energy_shipping_sanctions;case_2019_cosco_shipping_sanctions_tanker_market,14,9,5,9,0,18,18,4,14,0
evaluation_cases,eval_huawei_entity_list,eval_huawei_entity_list,technology_export_controls,case_2019_huawei_entity_list,10,case_2020_smic_entity_list_semiconductor_controls;case_2019_huawei_entity_list;case_2022_us_china_semiconductor_controls;case_2023_japan_chip_equipment_export_controls;case_2023_dutch_asml_controls;case_2024_taiwan_strait_drills_semiconductor_supply;case_2021_xinjiang_forced_labor_import_restrictions;case_2010_china_japan_rare_earth_embargo;case_taiwan_strait_semiconductor_risk;case_2019_turkey_f35_s400_defense_restrictions,8,4,4,4,0,8,8,0,8,0
evaluation_cases,eval_dutch_asml_export_controls,eval_dutch_asml_export_controls,technology_export_controls,case_2023_dutch_asml_controls,10,case_2023_dutch_asml_controls;case_2020_smic_entity_list_semiconductor_controls;case_2023_japan_chip_equipment_export_controls;case_2022_us_china_semiconductor_controls;case_2019_huawei_entity_list;case_2024_taiwan_strait_drills_semiconductor_supply;case_taiwan_strait_semiconductor_risk;case_2010_china_japan_rare_earth_embargo;case_2021_xinjiang_forced_labor_import_restrictions;case_china_gallium_germanium_graphite_controls,8,4,4,4,0,8,8,0,8,0
evaluation_cases,eval_taiwan_strait_semiconductor_risk,eval_taiwan_strait_semiconductor_risk,taiwan_strait_semiconductor_risk,case_taiwan_strait_semiconductor_risk,10,case_2024_taiwan_strait_drills_semiconductor_supply;case_taiwan_strait_semiconductor_risk;case_2023_japan_chip_equipment_export_controls;case_2017_north_korea_missile_escalation;case_2023_south_china_sea_shipping_tensions;case_2020_smic_entity_list_semiconductor_controls;case_2023_middle_east_defense_supply_escalation;case_2022_us_china_semiconductor_controls;case_2019_huawei_entity_list;case_2010_china_japan_rare_earth_embargo,14,4,10,4,0,8,8,0,8,0
evaluation_cases,eval_rare_earth_critical_minerals_controls,eval_rare_earth_critical_minerals_controls,critical_minerals_export_controls,case_rare_earth_export_restriction_risk;case_china_gallium_germanium_graphite_controls,10,case_china_gallium_germanium_graphite_controls;case_rare_earth_export_restriction_risk;case_2023_china_graphite_battery_export_controls;case_2010_china_japan_rare_earth_embargo;case_2020_indonesia_nickel_export_ban;case_2023_panama_cobre_mine_closure;case_2022_chile_lithium_policy_shift;case_2024_drc_cobalt_copper_mining_disruption;case_2022_peru_mine_protests_copper_supply;case_2023_eu_carbon_border_adjustment_mechanism,10,5,5,5,0,10,10,0,10,0
